kT,B,Energy,Magnetization,Domain Number,Mean Domains Size
0.5,0,-78.0119760479042,14.305389221556887,1.0,19.652694610778443
0.6,0,-100.0,-25.0,0.0,0.0
0.7,0,-100.0,-25.0,0.0,0.0
0.7999999999999999,0,-100.0,25.0,1.0,25.0
0.8999999999999999,0,-100.0,25.0,1.0,25.0
0.9999999999999999,0,-100.0,25.0,1.0,25.0
1.0999999999999999,0,-99.1377245508982,24.892215568862277,1.0,24.94610778443114
1.1999999999999997,0,-99.52095808383234,-24.940119760479043,0.029940119760479042,0.029940119760479042
1.2999999999999998,0,-99.2814371257485,24.904191616766468,1.0,24.952095808383234
1.4,0,-99.08982035928143,24.880239520958085,1.0,24.940119760479043
1.4999999999999998,0,-96.11976047904191,-24.437125748502993,0.2155688622754491,0.2694610778443114
1.5999999999999996,0,-97.36526946107784,-24.664670658682635,0.16167664670658682,0.15568862275449102
1.6999999999999997,0,-91.18562874251496,23.01197604790419,1.0,24.005988023952096
1.7999999999999998,0,-89.55688622754491,23.311377245508982,1.0,24.15568862275449
1.8999999999999997,0,-93.2934131736527,-24.065868263473053,0.3772455089820359,0.4281437125748503
1.9999999999999996,0,-91.1377245508982,23.730538922155688,1.0,24.365269461077844
